date,year,month,day,week,day_of_week
26-06-2023,2023,6,26,26,0
27-06-2023,2023,6,27,26,1
28-06-2023,2023,6,28,26,2
29-06-2023,2023,6,29,26,3
30-06-2023,2023,6,30,26,4
01-07-2023,2023,7,1,26,5
02-07-2023,2023,7,2,26,6
03-07-2023,2023,7,3,27,0
04-07-2023,2023,7,4,27,1
05-07-2023,2023,7,5,27,2
06-07-2023,2023,7,6,27,3
07-07-2023,2023,7,7,27,4
08-07-2023,2023,7,8,27,5
09-07-2023,2023,7,9,27,6
10-07-2023,2023,7,10,28,0
11-07-2023,2023,7,11,28,1
12-07-2023,2023,7,12,28,2
13-07-2023,2023,7,13,28,3
14-07-2023,2023,7,14,28,4
15-07-2023,2023,7,15,28,5
16-07-2023,2023,7,16,28,6
17-07-2023,2023,7,17,29,0
18-07-2023,2023,7,18,29,1
19-07-2023,2023,7,19,29,2
20-07-2023,2023,7,20,29,3
21-07-2023,2023,7,21,29,4
22-07-2023,2023,7,22,29,5
23-07-2023,2023,7,23,29,6
24-07-2023,2023,7,24,30,0
25-07-2023,2023,7,25,30,1
26-07-2023,2023,7,26,30,2
27-07-2023,2023,7,27,30,3
28-07-2023,2023,7,28,30,4
29-07-2023,2023,7,29,30,5
30-07-2023,2023,7,30,30,6
31-07-2023,2023,7,31,31,0
01-08-2023,2023,8,1,31,1
02-08-2023,2023,8,2,31,2
03-08-2023,2023,8,3,31,3
04-08-2023,2023,8,4,31,4
05-08-2023,2023,8,5,31,5
06-08-2023,2023,8,6,31,6
07-08-2023,2023,8,7,32,0
08-08-2023,2023,8,8,32,1
09-08-2023,2023,8,9,32,2
10-08-2023,2023,8,10,32,3
11-08-2023,2023,8,11,32,4
12-08-2023,2023,8,12,32,5
13-08-2023,2023,8,13,32,6
14-08-2023,2023,8,14,33,0
15-08-2023,2023,8,15,33,1
16-08-2023,2023,8,16,33,2
17-08-2023,2023,8,17,33,3
18-08-2023,2023,8,18,33,4
19-08-2023,2023,8,19,33,5
20-08-2023,2023,8,20,33,6
21-08-2023,2023,8,21,34,0
22-08-2023,2023,8,22,34,1
23-08-2023,2023,8,23,34,2
24-08-2023,2023,8,24,34,3
25-08-2023,2023,8,25,34,4
26-08-2023,2023,8,26,34,5
27-08-2023,2023,8,27,34,6
28-08-2023,2023,8,28,35,0
29-08-2023,2023,8,29,35,1
